No. Lote,Desarrollador,Georreferencia (UTM),Status,Metros Construidos,Tipo de Comercio,Nombre del Comercio,Cantidad de Locales,Fecha de Inicio de Construcción,FECHA DE ENTREGA DE PROYECTO,Cantidad de Niveles,Cantidad de Parqueos,Cantidad de Baños Comunes,área Verde,Cant. Imbornal,Cant. Filtrates
08-22-02,Hermanos Maldonados,420457.721;2044792.35,Terminación,,Plaza Comercial,Dumas Center II,58,,2026,,,,Agregar formula para cálculo,,
08-23-04,Hermanos Maldonados,420771.529;2044613.316,Terminación,,Plaza Comercial,Dumas Center I,29,,2026,3 Niveles,,,,,
04-40-02,, ,Adjudicado,,,,,,,,,,,,
04-39-02,,;,Por adjudicar,,,,,,,,,,,,
04-11-04,, ,,,,,,,,,,,,,
04-12-01,,;,Adjudicado,,,,,,,,,,,,
04-11-07,, ,,,,,,,,,,,,,
04-11-06,, ,Adjudicado,,,,,,,,,,,,
01-01-10,, ,Por adjudicar,,,,,,,,,,,,
01-01-08,, ,,,,,,,,,,,,,
01-01-06,,;,Por adjudicar,,,,,,,,,,,,
01-03-04,San Remo Valores,421687.661;2046625.648,San Remo Valores,,Plaza Comercial,Plaza Riu Mall  II,,,,,,,,,
03-08-03,,421200.057;2046309.594,,,,,,,,,,,,,
03-08-04,,;,,,,,,,,,,,,,
03-08-05,,;,,,,,,,,,,,,,
01-03-03,Adventista lote iglesia,,,,,,,,,,,,,,
01-08-03,, ,,,,,,,,,,,,,
02-05-03,Hermanos Maldonados,420902.617;2046447.385,Hermanos Maldonados,,Plaza Comercial,Dumas Center III,9,,,,,,,,
02-06-07,"Inversiones Reyes Caceres, SRL.",,"Inversiones Reyes Caceres, SRL.",,Plaza Comercial,Plaza La Mañosa,22,,,,,,,,
02-06-08,Constructora Nagir Ventura Srl, ,Constructora Nagir Ventura Srl,,Plaza Comercial,Plaza Bohío,32,,,,,,,,
02-06-09,, ,Adjudicado,,,,,,,,,,,,
00-10-02,Patio Capital Partners, ,En construcción,,Plaza Comercial,Patio Bosch I,37,,,2 Niveles,,,,,
03-09-05,Constructora Quezbel, ,En construcción,,Plaza Comercial,Camino Real Center,24,,,2 Niveles,,,,,
00-10-04,Patio Capital Partners, ,En construcción,,Plaza Comercial,Patio Bosch I,30,,,2 Niveles,,,,,
00-14-02,Patio Capital Partners,;,En construcción,,Plaza Comercial,Patio Bosch I,14,,,2 Niveles,,,,,
04-11-04,, ,Por adjudicar,,,,,,,,,,,,
00-14-05,,;,Adjudicado,,,,,,,,,,,,
00-14-04,,;,Adjudicado,,,,,,,,,,,,
03-09-09,,;,Por adjudicar,,,,,,,,,,,,
10-36-01,,;,Por adjudicar,,,,,,,,,,,,
05-17-02,San Remo Valores,420784.873;2045466.303,San Remo Valores,,Plaza Comercial,Plaza Riu Mall  I,,,,,,,,,
05-17-04,ARQGE ARQUITECTOS SRL, ,En construcción,,Plaza Comercial,Bazar Center,22,,,2 Niveles,,,,,
05-18-05,,;,Por adjudicar,,,,,,,,,,,,
05-19-05,,;,Consorcio Rizek,,,,,,,,,,,,
05-19-06,,;,Consorcio Rizek,,,,,,,,,,,,
05-20-02,,;,Finalizado,,Iglesia,Testigo de Jehova,1,,2024,,,,,,
06-25-03,Ingenieros CP Arquitectos,421224.099;2044634.186,En construcción,,Plaza Comercial,Fragata Center,37,,,2 Niveles,,,,,
07-30-04,,;,,,,,,,,,,,,,
07-30-05,, ,IMATEC ,,,,,,,,,,,,
07-35-03,,;,Por adjudicar,,,,,,,,,,,,
07-35-02,,;,Por adjudicar,,,,,,,,,,,,
00-34-05,,;,Por adjudicar,,,,,,,,,,,,
00-33-03,,;,Adjudicado,,,,,,,,,,,,
00-33-01,,;,Adjudicado,,,,,,,,,,,,
00-34-04,,;,Lote disponible,,,,,,,,,,,,
05-18-07,Construcciones Planificadas,,Construcciones Planificadas,,Plaza Comercial,La Marquesa Town Center 1,89,,,,,,,,
05-19-02,Construcciones Planificadas,,Construcciones Planificadas,,Plaza Comercial,La Marquesa Town Center 2,45,,,,,,,,
09-32-02,, ,,,,,,,,,,,,,
09-32-05,, ,,,,,,,,,,,,,
09-32-04,, ,,,,,,,,,,,,,
09-28-03,Consorcio Rio Grande,420787.949;2044266.92,Finalizado,,Plaza Comercial,La Trinitaria,24,,2021,2 Niveles,,,,,
05-19-02,Construcciones Planificadas,421227.804;2045075.832,Finalizado,,Plaza Comercial,La Marquesa Town Center 2,45,,2024,2 Niveles,,,,,
05-18-08,Construcciones Planificadas, ,Finalizado,,Plaza Comercial,La Marquesa Town Center 1,89,,2022,2 Niveles,,,,,
05-19-04,,421179.979;2044934.12,Finalizado,,Supermercado,Supermercado Olé,13,,2017,1 Nivel,,,,,
02-06-07,"Inversiones Reyes Caceres, SRL.", ,"Inversiones Reyes Caceres, SRL.",,Plaza Comercial,La Mañosa Center,22,,,,,,,,
