Nombre del Proyecto,Categoría,Tipo,Año Inicio,Año Fin,% Avance Actual,Estado,Descripción,Destacar en Timelapse
Anfiteatro La Gaviota,Equipamientos,Cultural,2023,2025,90,En Progreso,Centro cultural principal de la ciudad,SI
Polideportivo Central,Equipamientos,Deportivo,2022,2025,60,En Progreso,Complejo deportivo multifuncional,SI
Parque Central,Equipamientos,Plazas y Parques,2020,2022,100,Completado,Área verde principal,SI
Red Vial Principal,Infraestructura Urbana,Vial,2016,2020,100,Completado,Avenidas principales de la ciudad,SI
Centro Comercial Principal,Comercial,Plazas,2019,2021,100,Completado,Primera plaza comercial,SI
Escuela Primaria #1,Equipamientos,Educativo,2018,2019,100,Completado,Primera escuela del proyecto,SI
Hospital Comunitario,Equipamientos,Seguridad,2020,2023,100,Completado,Centro de salud principal,SI
Red Eléctrica Fase 1,Infraestructura Urbana,Eléctrica,2016,2018,100,Completado,Electrificación inicial,NO
Alcantarillado Principal,Infraestructura Urbana,Hidrosanitaria,2016,2019,100,Completado,Sistema de drenaje principal,NO
Reserva Ecológica,Equipamientos,Medio Ambiental,2021,2024,85,En Progreso,Área de conservación ambiental,SI
